y2,y3,x,y,y1,y4
0,1,1679117700,,,1
0,1,1679118000,,,1
0,1,1679118300,,,1
0,1,1679118600,,,1
0,1,1679118900,,,1
0,1,1679119200,,,1
0,1,1679119500,,,1
0,1,1679119800,,,1
0,1,1679120100,,,1
0,1,1679120400,,,1
0,1,1679120700,,,1
0,1,1679121000,,,1
0,1,1679121300,,,1
0,1,1679121600,,,1
0,1,1679121900,,,1
0,1,1679122200,,,1
0,1,1679122500,,,1
0,1,1679122800,,,1
0,1,1679123100,,,1
0,1,1679123400,,,1
0,1,1679123700,,,1
0,1,1679124000,,,1
0,1,1679124300,,,1
0,1,1679124600,,,1
0,1,1679124900,,,1
0,1,1679125200,,,1
0,1,1679125500,,,1
0,1,1679125800,,,1
0,1,1679126100,,,1
0,1,1679126400,,,1
0,1,1679126700,,,1
0,1,1679127000,,,1
0,1,1679127300,,,1
0,1,1679127600,,,1
0,1,1679127900,,,1
0,1,1679128200,,,1
0,1,1679128500,,,1
0,1,1679128800,,,1
0,1,1679129100,,,1
0,1,1679129400,,,1
0,1,1679129700,,,1
0,1,1679130000,,,1
0,1,1679130300,,,1
0,1,1679130600,,,1
0,1,1679130900,,,1
0,1,1679131200,,,1
0,1,1679131500,,,1
0,1,1679131800,,,1
0,1,1679132100,,,1
0,1,1679132400,,,1
0,1,1679132700,,,1
0,1,1679133000,,,1
0,1,1679133300,,,1
0,1,1679133600,,,1
0,1,1679133900,,,1
0,1,1679134200,,,1
0,1,1679134500,,,1
0,1,1679134800,,,1
0,1,1679135100,,,1
0,1,1679135400,,,1
0,1,1679135700,,,1
0,1,1679136000,,,1
0,1,1679136300,,,1
0,1,1679136600,,,1
0,1,1679136900,,,1
0,1,1679137200,,,1
0,1,1679137500,,,1
0,1,1679137800,,,1
0,1,1679138100,,,1
