x,y,y1,air_temp,wind_speed,air_pressure,rel_humidity,sol_irr,meteo_timestamp,skin_datetime,meteo_datetime
1668898812,10.64,11.3396,4.808194378333325,1.3137554258020756,928.2591666666666,90.73194444444442,0.0,1668898801.357,2022-11-20 00:00:12,2022-11-20 00:00:01.357
1668899412,10.52,11.4057,4.8778133510067665,0.9286171029183018,928.3688554691125,90.6330006792009,0.02636612021857898,1668899401.466,2022-11-20 00:10:12,2022-11-20 00:10:01.466
1668900012,10.47,11.4161,4.952952147362725,1.088654085432121,928.4178097904127,90.71475076870185,0.15315228314804363,1668900001.407,2022-11-20 00:20:12,2022-11-20 00:20:01.407
1668900612,10.58,11.4025,4.882874999027774,1.5152361106666665,928.4072222222225,91.69166666666676,0.10416666666666748,1668900601.251,2022-11-20 00:30:12,2022-11-20 00:30:01.251
1668901212,11.08,11.4106,4.826041698055557,0.8010416655569417,928.3902777777781,90.5555555555556,0.0,1668901201.25,2022-11-20 00:40:12,2022-11-20 00:40:01.250
1668901827,10.95,,5.0144860827777835,0.8976744335109234,928.4370833333327,90.99166666666649,0.29305555555555524,1668901801.251,2022-11-20 00:50:27,2022-11-20 00:50:01.251
1668902412,10.98,11.4045,4.923222210277783,0.7882916649888893,928.3698611111117,91.09444444444442,0.026388888888889156,1668902401.249,2022-11-20 01:00:12,2022-11-20 01:00:01.249
1668903012,10.55,11.3986,4.97260242802025,0.7807222225208358,928.5022104519784,90.18790018832384,0.584416195856874,1668903001.247,2022-11-20 01:10:12,2022-11-20 01:10:01.247
1668903612,10.49,11.3217,4.984911882677199,1.5211657087217467,928.5749377394651,92.41743295019158,0.5983237547892725,1668903601.254,2022-11-20 01:20:12,2022-11-20 01:20:01.254
1668904212,11.27,11.3705,4.961847266250008,1.688833338952781,928.589583333334,91.90416666666658,0.38194444444444414,1668904201.269,2022-11-20 01:30:12,2022-11-20 01:30:01.269
1668904812,10.46,11.3623,4.7275417280555665,1.6083333332777585,928.5918055555559,91.05000000000001,0.0027777777777778334,1668904801.246,2022-11-20 01:40:12,2022-11-20 01:40:01.246
1668905412,11.34,11.3817,4.763305568055549,1.0458185054430331,928.6612500000001,89.7375,0.0055555555555555835,1668905401.25,2022-11-20 01:50:12,2022-11-20 01:50:01.250
1668906012,11.1,11.3686,4.8417916620833426,1.8098333351805584,928.7316666666667,91.07916666666658,0.21527777777777748,1668906001.236,2022-11-20 02:00:12,2022-11-20 02:00:01.236
1668906612,10.45,11.3662,4.8487119439798585,2.212375000777792,928.7320225525609,91.41748132197226,0.12780131826742028,1668906601.316,2022-11-20 02:10:12,2022-11-20 02:10:01.316
1668907212,10.34,11.3652,4.782874982777776,1.472777779000011,928.7452777777767,89.2180555555555,0.0,1668907201.24,2022-11-20 02:20:12,2022-11-20 02:20:01.240
1668907812,10.9,11.375,4.8078472222222075,1.0915277751111083,928.846111111111,89.09999999999992,0.0055555555555555835,1668907801.259,2022-11-20 02:30:12,2022-11-20 02:30:01.259
1668908412,10.29,11.3428,4.600763890972226,2.2779305525000084,928.7920833333325,88.07500000000009,0.7777777777777798,1668908401.28,2022-11-20 02:40:12,2022-11-20 02:40:01.280
1668909012,10.53,11.3401,4.352263885416659,1.5868281576965668,928.934999999999,88.18194444444451,0.4055555555555581,1668909001.246,2022-11-20 02:50:12,2022-11-20 02:50:01.246
1668909612,10.89,11.3734,4.468444434027775,1.1769999995138907,929.0633333333334,89.77222222222225,0.08472222222222275,1668909601.259,2022-11-20 03:00:12,2022-11-20 03:00:01.259
1668910212,10.74,11.3616,4.712187118698217,1.5044722201388832,929.1089124293775,88.61158192090384,0.0069679849340866665,1668910201.272,2022-11-20 03:10:12,2022-11-20 03:10:01.272
1668910812,10.63,11.378,4.719750016666659,1.23768055669445,928.9881944444451,87.85416666666667,0.0,1668910801.244,2022-11-20 03:20:12,2022-11-20 03:20:01.244
1668911412,10.2,11.3339,4.812249976666657,1.3730277769583275,928.9976388888884,87.03750000000008,0.0,1668911401.25,2022-11-20 03:30:12,2022-11-20 03:30:01.250
1668912012,10.79,11.3318,4.789458306944433,1.2793055567958251,929.0183333333333,87.5236111111111,0.04305555555555559,1668912001.262,2022-11-20 03:40:12,2022-11-20 03:40:01.262
1668912612,10.76,11.3808,4.847736047638883,0.9171026372140826,929.0383333333333,88.3625,0.04305555555555559,1668912601.243,2022-11-20 03:50:12,2022-11-20 03:50:01.243
1668913212,9.89,11.3648,4.862736318318743,1.331597220022225,929.0078168704259,86.6165640146955,0.0,1668913201.27,2022-11-20 04:00:12,2022-11-20 04:00:01.270
