system:index,ST,ST_unc,coverage,sensor,time_utc,time_utc+1,time_unix
1_1_1_2_LT05_196028_20070220,5.15711462,3.51,1.003420798,LANDSAT_5,2007-02-20 10:18:04,2007-02-20 11:18:04,1171966684
1_1_2_LE07_196028_20070316,8.12053796,2.06,1.003420798,LANDSAT_7,2007-03-16 10:13:36,2007-03-16 11:13:36,1174040016
1_1_2_LE07_195028_20070410,11.96581046,1.92,0.957916217,LANDSAT_7,2007-04-10 10:07:25,2007-04-10 11:07:25,1176199645
1_1_2_LE07_196028_20070417,15.32572412,3.67,1.003420798,LANDSAT_7,2007-04-17 10:13:35,2007-04-17 11:13:35,1176804815
1_1_1_2_LT05_196028_20070628,17.11334858,2.32,1.003420798,LANDSAT_5,2007-06-28 10:16:53,2007-06-28 11:16:53,1183025813
1_1_2_LE07_195028_20070715,21.06116168,2.16,0.957916217,LANDSAT_7,2007-07-15 10:07:06,2007-07-15 11:07:06,1184494026
1_1_2_LE07_195028_20070731,18.77108828,1.8,0.957916217,LANDSAT_7,2007-07-31 10:07:02,2007-07-31 11:07:02,1185876422
1_1_1_2_LT05_195028_20070824,19.70762576,2.58,0.957916217,LANDSAT_5,2007-08-24 10:10:09,2007-08-24 11:10:09,1187950209
1_1_1_2_LT05_196028_20070831,19.4581103,2.21,1.003420798,LANDSAT_5,2007-08-31 10:16:15,2007-08-31 11:16:15,1188555375
1_1_2_LE07_196028_20070908,17.88923912,2.6,1.003420798,LANDSAT_7,2007-09-08 10:12:56,2007-09-08 11:12:56,1189246376
1_1_1_2_LT05_196028_20070916,18.4327043,2.5,1.003420798,LANDSAT_5,2007-09-16 10:16:09,2007-09-16 11:16:09,1189937769
1_1_2_LE07_196028_20070924,17.90632922,2.34,0.844904936,LANDSAT_7,2007-09-24 10:12:51,2007-09-24 11:12:51,1190628771
1_1_2_LE07_195028_20071019,14.56350566,2.15,0.957916217,LANDSAT_7,2007-10-19 10:06:44,2007-10-19 11:06:44,1192788404
1_1_2_LE07_196028_20071127,7.70695754,3.01,1.003420798,LANDSAT_7,2007-11-27 10:13:17,2007-11-27 11:13:17,1196158397
1_1_2_LE07_195028_20080123,5.57753108,2.19,0.957916217,LANDSAT_7,2008-01-23 10:07:15,2008-01-23 11:07:15,1201082835
1_1_2_LE07_196028_20080215,5.59462118,3.05,1.003420798,LANDSAT_7,2008-02-15 10:13:21,2008-02-15 11:13:21,1203070401
1_1_1_2_LT05_195028_20080319,6.27138914,2.34,0.957916217,LANDSAT_5,2008-03-19 10:06:50,2008-03-19 11:06:50,1205921210
1_1_1_2_LT05_195028_20080404,7.28654108,3.29,0.957916217,LANDSAT_5,2008-04-04 10:06:28,2008-04-04 11:06:28,1207303588
1_1_1_2_LT05_195028_20080506,11.4770336,3.9,0.957916217,LANDSAT_5,2008-05-06 10:05:39,2008-05-06 11:05:39,1210068339
1_1_1_2_LT05_196028_20080513,15.72905048,2.27,1.003420798,LANDSAT_5,2008-05-13 10:11:39,2008-05-13 11:11:39,1210673499
1_1_2_LE07_196028_20080622,21.70716746,2.51,1.003420798,LANDSAT_7,2008-06-22 10:12:45,2008-06-22 11:12:45,1214129565
1_1_1_2_LT05_195028_20080623,23.28971072,2.69,0.957916217,LANDSAT_5,2008-06-23 10:04:22,2008-06-23 11:04:22,1214215462
1_1_1_2_LT05_196028_20080630,22.7564996,3.05,1.003420798,LANDSAT_5,2008-06-30 10:10:21,2008-06-30 11:10:21,1214820621
1_1_1_2_LT05_196028_20080716,20.23058282,2.37,1.003420798,LANDSAT_5,2008-07-16 10:09:53,2008-07-16 11:09:53,1216202993
1_1_2_LE07_196028_20080724,19.19492276,3.54,1.003420798,LANDSAT_7,2008-07-24 10:12:22,2008-07-24 11:12:22,1216894342
1_1_2_LE07_196028_20080809,20.86291652,2.24,1.003420798,LANDSAT_7,2008-08-09 10:12:17,2008-08-09 11:12:17,1218276737
1_1_1_2_LT05_196028_20080902,20.4151559,2.28,1.003420798,LANDSAT_5,2008-09-02 10:08:31,2008-09-02 11:08:31,1220350111
1_1_1_2_LT05_195028_20080927,14.50881734,2.33,0.957916217,LANDSAT_5,2008-09-27 10:01:36,2008-09-27 11:01:36,1222509696
1_1_1_2_LT05_196028_20090313,6.02187368,2.38,1.003420798,LANDSAT_5,2009-03-13 10:09:35,2009-03-13 11:09:35,1236938975
1_1_2_LE07_196028_20090321,6.06630794,3.35,1.003420798,LANDSAT_7,2009-03-21 10:13:17,2009-03-21 11:13:17,1237630397
1_1_1_2_LT05_195028_20090322,5.67665366,2.39,0.957916217,LANDSAT_5,2009-03-22 10:03:36,2009-03-22 11:03:36,1237716216
1_1_2_LE07_196028_20090422,11.89403204,2.23,1.003420798,LANDSAT_7,2009-04-22 10:13:27,2009-04-22 11:13:27,1240395207
1_1_2_LE07_195028_20090501,10.80368366,3.58,0.957916217,LANDSAT_7,2009-05-01 10:07:18,2009-05-01 11:07:18,1241172438
1_1_1_2_LT05_196028_20090516,13.00147052,3.77,1.003420798,LANDSAT_5,2009-05-16 10:10:52,2009-05-16 11:10:52,1242468652
1_1_2_LE07_195028_20090602,12.82373348,2.18,0.806990547,LANDSAT_7,2009-06-02 10:07:20,2009-06-02 11:07:20,1243937240
1_1_1_2_LT05_195028_20090610,13.22705984,2.36,0.957916217,LANDSAT_5,2009-06-10 10:05:08,2009-06-10 11:05:08,1244628308
1_1_2_LE07_195028_20090618,22.21303442,3.73,0.957916217,LANDSAT_7,2009-06-18 10:07:19,2009-06-18 11:07:19,1245319639
1_1_2_LE07_195028_20090720,19.42051208,2.2,0.907094276,LANDSAT_7,2009-07-20 10:07:12,2009-07-20 11:07:12,1248084432
1_1_2_LE07_196028_20090727,21.77894588,2.34,1.003420798,LANDSAT_7,2009-07-27 10:13:21,2009-07-27 11:13:21,1248689601
1_1_1_2_LT05_195028_20090728,20.18614856,2.44,0.957916217,LANDSAT_5,2009-07-28 10:05:57,2009-07-28 11:05:57,1248775557
1_1_2_LE07_196028_20090812,21.63538904,2.48,1.003420798,LANDSAT_7,2009-08-12 10:13:15,2009-08-12 11:13:15,1250071995
1_1_1_2_LT05_196028_20090820,25.51142372,2.69,1.003420798,LANDSAT_5,2009-08-20 10:12:28,2009-08-20 11:12:28,1250763148
1_1_2_LE07_196028_20090828,24.83465576,2.81,1.003420798,LANDSAT_7,2009-08-28 10:13:15,2009-08-28 11:13:15,1251454395
1_1_1_2_LT05_195028_20090829,19.60850318,5.02,0.957916217,LANDSAT_5,2009-08-29 10:06:26,2009-08-29 11:06:26,1251540386
1_1_1_2_LT05_196028_20090905,18.56258906,2.5,1.003420798,LANDSAT_5,2009-09-05 10:12:42,2009-09-05 11:12:42,1252145562
1_1_2_LE07_195028_20090906,19.15732454,2.12,0.957916217,LANDSAT_7,2009-09-06 10:07:04,2009-09-06 11:07:04,1252231624
1_1_1_2_LT05_195028_20090914,17.7661904,2.35,0.957916217,LANDSAT_5,2009-09-14 10:06:39,2009-09-14 11:06:39,1252922799
1_1_1_2_LT05_195028_20090930,17.42097038,2.41,0.957916217,LANDSAT_5,2009-09-30 10:06:51,2009-09-30 11:06:51,1254305211
