x,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y,y16
1668385801.248,0.79833332583333,0.17,1.45,126.44517845071002,932.31,100,0.21666666666667003,0,0,0,0,0,0,0,0,4.9221666866667,0
1668385861.233,0.3341666666,0.05,0.91999996,164.06957761955,932.3033333333301,100,0,0,0,0,0,0,0,0,0,4.904666756666701,0
1668385921.234,0.22983333331667002,0.060000002000000004,0.61,246.43468564482998,932.3033333333301,100,0,0,0,0,0,0,0,0,0,4.958166686666701,0
1668385981.235,0.2528333351,0.05,0.49,82.898644070167,932.37166666667,100,0.8,0,0,0,0,0,0,0,0,5.0273331966667,0
1668386041.244,0.34499999966666994,0.13,0.75,158.56070712119,932.37,100,0.28333333333333,0,0,0,0,0,0,0,0,5.0485,0
1668386101.235,0.51633333716667,0.17,0.8,235.38134236832002,932.38333333333,100,0.35,0,0,0,0,0,0,0,0,5.0631666666667,0
1668386161.232,0.22449999975,0.120000005,0.34,312.69701047922,932.34,100,0.13333333333333,0,0,0,0,0,0,0,0,5.053999999999999,0
1668386221.235,0.33333333133333,0.15,0.46999997,135.11005010524,932.3133333333301,100,0,0,0,0,0,0,0,0,0,5.1041665616667,0
1668386281.249,1.1531666645,0.45999998,1.78,146.37773146113,932.3083333333301,100,0,0,0,0,0,0,0,0,0,5.0856666666667,0
1668386341.232,1.3876666711666998,0.96999997,1.64,172.93119355697,932.3116666666699,100,0.28333333333333,0,0,0,0,0,0,0,0,5.1033332933333,0
1668386401.262,1.0574999868333,0.45,1.7299999,195.49295900775002,932.3,100,0.11666666666667,0,0,0,0,0,0,0,0,5.04949988,0
1668386461.232,0.47066666766667004,0.22999999,0.85,266.01958323473,932.2966666666699,100,0.23333333333332998,0,0,0,0,0,0,0,0,5.09449996,0
1668386521.312,0.6691666675,0.37,0.91999996,325.29717902787,932.33,100,0.8,0,0,0,0,0,0,0,0,5.1386667216667,0
1668386581.233,0.5696666708333299,0.27,0.81000006,4.0593833487810995,932.3116666666699,100,0.41666666666667,0,0,0,0,0,0,0,0,5.1366667416667005,0
1668386641.23,0.41700000308333,0.04,0.73,24.370967104355003,932.3116666666699,100,0.86666666666667,0,0,0,0,0,0,0,0,5.1853333333333,0
1668386701.237,0.596166669,0.3,0.87,29.319937322544998,932.3183333333301,100,0.9,0,0,0,0,0,0,0,0,5.2076668166667,0
1668386761.311,0.5961666664999999,0.17999999,0.81000006,8.3091553240129,932.3083333333301,100,0.4,0,0,0,0,0,0,0,0,5.216500135,0
1668386821.235,0.77550000416667,0.58000004,0.95,4.807933460217799,932.2966666666699,100,0.05,0,0,0,0,0,0,0,0,5.20650009,0
1668386881.232,0.7113333378333299,0.2,1.6600001,19.660692655357998,932.29,100,0.51666666666667,0,0,0,0,0,0,0,0,5.212000105,0
1668386941.24,0.74800000133333,0.14,1.3,63.910245503868,932.3033333333301,100,0.083333333333333,0,0,0,0,0,0,0,0,5.22716681,0
1668387001.313,1.2838333315000001,0.71999997,1.65,68.329156467716,932.3083333333301,100,0.45,0,0,0,0,0,0,0,0,5.2250000216667,0
1668387061.235,0.9242372837288101,0.71,1.3399999,33.278396320451,932.265,100,0.21666666666667003,0,0,0,0,0,0,0,0,5.1578333333333,0
1668387121.232,0.71116666516667,0.32999998,1.17,21.846736616487004,932.24166666667,100,0,0,0,0,0,0,0,0,0,5.2113334116667005,0
1668387181.234,0.7404999996666701,0.5,0.9,342.35032606854,932.25333333333,100,0,0,0,0,0,0,0,0,0,5.2546666266667,0
