x,y2,y3,y4,y,y1
1668526812.659,0,0,0,12.14,12.1957
1668527412.608,0,0,0,12.32,12.1941
1668528012.618,0,0,0,12.17,12.2089
1668528612.609,0,0,0,12.06,12.1857
1668529212.625,0,0,0,12.13,12.2091
1668529812.605,0,0,0,12.04,12.1721
1668530412.618,0,0,0,12.51,12.1957
1668531012.617,0,0,0,12.01,12.1839
1668531612.734,0,0,0,11.97,12.1832
1668532212.601,0,0,0,12.44,12.1803
1668532812.642,0,0,0,12.55,12.1784
1668533412.616,0,0,0,12.13,12.1609
1668534012.604,0,0,0,12.78,12.1658
1668534612.633,0,0,0,12.22,12.1666
1668535212.614,0,0,0,11.71,12.1446
1668535812.585,0,0,0,12.18,12.1197
1668536412.605,0,0,0,12.41,12.1556
1668537012.657,0,0,0,12.14,12.1486
1668537612.634,0,0,0,12.46,12.1138
1668538212.6,0,0,0,12.3,12.1543
1668538812.642,0,0,0,12.12,12.1229
1668539412.654,0,0,0,11.99,12.1291
1668540012.605,0,0,0,12.58,12.1319
1668540612.591,0,0,0,12.35,12.1346
1668541212.657,0,0,0,12.88,12.1182
1668541812.587,0,0,0,11.65,12.127
1668542412.704,0,0,0,12.2,12.1454
1668543012.684,0,0,0,12.41,12.11
1668543612.721,0,0,0,12.24,12.168
1668544212.597,0,0,0,12.27,12.1278
1668544812.621,0,0,0,12.07,12.1368
1668545428.5,0,0,1,11.59,
1668546012.651,0,0,0,11.88,12.1531
1668546612.584,0,0,0,11.6,12.1479
1668547212.536,0,0,0,11.81,12.1375
1668547812.638,0,0,0,12.34,12.1171
1668548412.61,0,0,0,11.42,12.1261
1668549012.607,0,0,0,12.06,12.1279
1668549612.56,0,0,0,12.03,12.1353
1668550212.608,0,0,0,11.28,12.1265
1668550812.616,0,0,0,11.96,12.1434
1668551412.641,0,0,0,11.73,12.1423
1668552012.592,0,0,0,12.35,12.1245
1668552612.643,0,0,0,12.25,12.1421
1668553212.733,0,0,0,11.4,12.1268
1668553812.684,0,0,0,11.92,12.1412
1668554412.669,0,0,0,12.08,12.1297
1668555012.641,0,0,0,12.06,12.1302
