x,datetime,bulk_temp,skin_temp,air_temp,precipitation,windspeed,solar_W,rel_humidity,air_pressure,Quality
1481724000.0,2016-12-14 15:00:00,8.921359561214162,7.822251184494326,2.805,0.0,1.036,129.9,86.3,0.0,0
1481727600.0,2016-12-14 16:00:00,8.98991803805739,7.919063913555181,3.17,0.0,1.181,101.5,83.9,0.0,0
1481731200.0,2016-12-14 17:00:00,9.016828858805919,7.889760682459847,3.08,0.0,1.029,24.0,84.8,0.0,0
1481734800.0,2016-12-14 18:00:00,8.994162503994565,7.574885928891826,2.894,0.0,0.892,0.0,85.8,0.0,0
1481738400.0,2016-12-14 19:00:00,8.992162605280514,7.500652910737162,2.459,0.0,0.974,0.0,87.9,0.0,0
1481742000.0,2016-12-14 20:00:00,8.980902942928285,7.82486068436835,2.553,0.0,0.994,0.0,88.5,0.0,0
1481745600.0,2016-12-14 21:00:00,8.956034013395593,7.974592163210804,2.573,0.0,1.064,0.0,89.4,0.0,0
1481749200.0,2016-12-14 22:00:00,8.931922963249113,7.9164872829414765,2.336,0.0,1.267,0.0,90.3,0.0,0
1481752800.0,2016-12-14 23:00:00,8.913808988576681,8.051027898480148,2.139,0.0,1.347,0.0,91.6,0.0,0
1481756400.0,2016-12-15 00:00:00,8.869463863842668,7.98129567088971,2.011,0.0,1.3259999999999998,0.0,91.8,0.0,0
1481760000.0,2016-12-15 01:00:00,8.860767020622932,7.9581660536480605,2.002,0.0,1.228,0.0,91.7,0.0,0
1481763600.0,2016-12-15 02:00:00,8.840340460497982,7.984647234771691,1.915,0.0,1.18,0.0,91.5,0.0,0
1481767200.0,2016-12-15 03:00:00,8.83090021700914,8.019320486152786,1.812,0.0,1.629,0.0,91.9,0.0,0
1481770800.0,2016-12-15 04:00:00,8.788332819931172,7.966669751608526,1.835,0.0,1.492,0.0,92.1,0.0,0
1481774400.0,2016-12-15 05:00:00,8.762190996914452,7.93243568401936,1.396,0.0,1.493,0.0,92.1,0.0,0
1481778000.0,2016-12-15 06:00:00,8.754854210358776,7.855709863972256,2.0,0.0,0.909,0.0,91.1,0.0,0
1481781600.0,2016-12-15 07:00:00,8.74000283968754,7.844177221226211,1.824,0.0,1.231,0.0,91.1,0.0,0
1481785200.0,2016-12-15 08:00:00,8.74477718202404,7.8369573924870455,2.066,0.0,1.345,0.0,90.5,0.0,0
