x,y,y2,y4,y6,y8,y10,y12,y14,y16,y18,y20,y22,y24,y1,y3,y5,y7,y9,y11,y13,y15,y17,y19,y21,y23,y25
1610251200,-0.527,-0.601,972,1016,-5.33,11.2,72.14,6.458,70.6,,,7.589,5.566,,,,,,,,,,,,,
1610254800,-0.526,-0.568,972,1016,-5.453,11.3,70.48,6.166,69.78,,,7.575,5.705,,,,,,,,,,,,,
1610258400,-0.673,-0.731,972,1016,-5.68,10.1,70.37,5.736,69.41,,,7.476,5.654,,,,,,,,,,,,,
1610262000,-1,-1.051,972,1016,-5.716,10.4,71.23,5.799,70.85,,,7.489,5.718,,,,,,,,,,,,,
1610265600,-1.069,-1.14,972,1016,-5.855,12.7,71.24,6.577,70.57,,39.07,7.495,5.696,,,,,,,,,,,,,
1610269200,-0.795,-0.853,972,1016,-5.693,11.4,72.5,6.706,69.96,,103.3,7.309,5.668,,,,,,,,,,,,,
1610272800,-0.62,-0.671,972,1017,-5.77,12.7,69.44,6.968,68.63,,130.6,7.563,5.688,,,,,,,,,,,,,
1610276400,-0.566,-0.593,973,1017,-5.82,12.7,71.48,7.246,67.98,,177.9,7.339,5.693,,,,,,,,,,,,,
1610280000,-0.445,-0.481,972,1016,-5.987,11.2,69.5,6.402,66.58,,129.4,7.382,5.672,,,,,,,,,,,,,
1610283600,0.028,-0.081,972,1016,-6.186,12.9,80.6,5.384,63.7,,354.2,7.61,5.661,,,,,,,,,,,,,
1610287200,0.693,0.561,972,1016,-6.093,10.1,84.5,5.141,61.23,,262,7.623,5.689,,,,,,,,,,,,,
1610290800,0.92,0.813,972,1017,-6.355,9.3,86.2,4.722,58.94,,131.8,7.553,5.703,,,,,,,,,,,,,
1610294400,0.591,0.531,973,1017,-6.28,8.8,83.4,4.921,60.49,,4.015,7.649,5.67,,,,,,,,,,,,,
1610298000,0.097,0.029,973,1017,-6.387,8,79.57,4.206,62.22,,,7.589,5.655,,,,,,,,,,,,,
1610301600,-0.351,-0.402,973,1018,-6.088,6,81.2,3.408,65.69,,,7.556,5.628,,,,,,,,,,,,,
1610305200,-0.601,-0.626,974,1018,-5.756,7,91.8,3.194,68.49,,,7.576,5.605,,,,,,,,,,,,,
1610308800,-0.944,-0.975,974,1019,-5.612,7.1,79.17,4.251,71.03,,,7.558,5.589,,,,,,,,,,,,,
1610312400,-1.246,-1.303,975,1019,-5.924,8.2,78.24,4.584,71.05,,,7.533,5.58,,,,,,,,,,,,,
1610316000,-1.556,-1.609,975,1019,-5.983,7,72.08,4.133,72.34,,,7.442,5.646,,,,,,,,,,,,,
1610319600,-1.566,-1.639,975,1019,-6.237,8.3,69.23,5.444,71.1,,,7.315,5.644,,,,,,,,,,,,,
1610323200,-1.581,-1.642,975,1019,-6.131,8.2,70.89,4.247,71.7,,,7.522,5.602,,,,,,,,,,,,,
1610326800,-1.568,-1.62,975,1020,-5.989,7.4,68.38,4.373,72.36,,,7.556,5.581,,,,,,,,,,,,,
1610330400,-1.683,-1.709,976,1020,-6.255,6.8,76.32,3.942,71.37,,,7.565,5.595,,,,,,,,,,,,,
1610334000,-1.789,-1.815,976,1020,-6.338,6.5,77.58,3.558,71.47,,,7.531,5.601,,,,,,,,,,,,,
1610337600,-1.828,-1.837,976,1020,-6.203,5.6,79.74,3.176,72.33,,,7.35,5.612,,,,,,,,,,,,,
1610341200,-1.98,-2.001,976,1020,-6.412,5.1,73.16,2.931,72.05,,,7.507,5.608,,,,,,,,,,,,,
1610344800,-2.017,-2.035,976,1021,-6.322,5.2,85.4,2.865,72.73,,,7.454,5.593,,,,,,,,,,,,,
1610348400,-2.12,-2.131,977,1021,-6.385,4.5,81.3,2.618,72.9,,,7.266,5.617,,,,,,,,,,,,,
1610352000,-2.249,-2.269,977,1022,-6.533,4.5,83.3,2.723,72.82,,17.05,7.44,5.6,,,,,,,,,,,,,
1610355600,-2.206,-2.224,978,1022,-6.194,5.1,83.1,2.567,74.49,,66.73,7.377,5.594,,,,,,,,,,,,,
1610359200,-1.995,-2.029,978,1022,-6.075,5,91,2.691,74.1,,138.5,7.481,5.614,,,,,,,,,,,,,
1610362800,-1.836,-1.846,978,1022,-6.046,5.2,82.5,3.158,73.26,,394.7,7.557,5.615,,,,,,,,,,,,,
1610366400,-1.554,-1.622,977,1021,-5.943,5.3,95,3.249,72.63,,161.5,7.646,5.621,,,,,,,,,,,,,
1610370000,-1.219,-1.263,976,1021,-5.837,4.4,82.1,2.548,71.31,,329.4,7.505,5.605,,,,,,,,,,,,,
1610373600,-0.814,-0.933,976,1020,-6.152,4.1,83.3,2.084,67.96,,254.9,7.613,5.613,,,,,,,,,,,,,
1610377200,-0.462,-0.509,977,1021,-5.754,3.6,127.2,1.931,67.93,,119.6,7.592,5.614,,,,,,,,,,,,,
1610380800,-0.608,-0.608,977,1021,-5.342,2.1,105.5,1.159,70.58,,3.27,7.617,5.615,,,,,,,,,,,,,
1610384400,-1.287,-1.429,977,1021,-5.649,2.8,46.17,1.291,73.24,,,7.621,5.614,,,,,,,,,,,,,
1610388000,-2.021,-2.138,978,1022,-5.386,2.4,19.63,1.245,78.75,,,7.575,5.605,,,,,,,,,,,,,
1610391600,-2.262,-2.37,978,1022,-4.918,3.2,24.29,1.664,83,,,7.561,5.588,,,,,,,,,,,,,
1610395200,-2.708,-2.86,978,1022,-5.417,2.6,38.12,1.816,82.8,,,7.544,5.566,,,,,,,,,,,,,
1610398800,-3.311,-3.485,978,1022,-5.454,2.4,41.28,1.536,86.6,,,7.534,5.571,,,,,,,,,,,,,
1610402400,-3.969,-4.114,978,1023,-5.654,2.9,39.24,1.934,89.4,,,7.566,5.524,,,,,,,,,,,,,
1610406000,-3.961,-4.09,978,1023,-5.339,3,36.18,1.709,91.4,,,7.608,5.546,,,,,,,,,,,,,
1610409600,-1.612,-1.81,978,1023,-2.997,6.2,310.5,2.977,91.9,,,7.617,5.548,,,,,,,,,,,,,
1610413200,-1.206,-1.176,979,1023,-2.227,6.4,285.7,3.387,92.9,,,7.584,5.534,,,,,,,,,,,,,
1610416800,-1.401,-1.457,979,1023,-2.553,6.1,288.5,3.369,92.6,,,7.535,5.522,,,,,,,,,,,,,
1610420400,-1.952,-1.89,979,1023,-3.041,6.4,291.1,3.701,92.2,,,7.48,5.512,,,,,,,,,,,,,
1610424000,-2.027,-2.069,979,1023,-3.299,7.2,285.8,3.438,91.6,,,7.465,5.505,,,,,,,,,,,,,
1610427600,-2.238,-2.218,979,1023,-3.44,7.2,287.5,3.357,91.7,,,7.465,5.493,,,,,,,,,,,,,
1610431200,-2.175,-2.123,979,1023,-3.474,8,286.4,4.041,90.8,,,7.432,5.478,,,,,,,,,,,,,
1610434800,-1.791,-1.757,978,1023,-3.631,9.3,287.8,4.315,87.4,,,7.435,5.467,,,,,,,,,,,,,
1610438400,-1.523,-1.445,978,1023,-3.901,8.8,282,4.921,83.7,,14.09,7.405,5.45,,,,,,,,,,,,,
1610442000,-1.138,-1.09,979,1023,-3.606,7.7,286.9,3.979,83.3,,48.83,7.413,5.432,,,,,,,,,,,,,
1610445600,-0.252,-0.144,979,1023,-2.886,8.9,282.3,5.102,82.1,,92.7,7.46,5.462,,,,,,,,,,,,,
1610449200,0.352,0.414,977,1022,-1.573,8.8,293.3,3.924,86.9,,94.1,7.51,5.494,,,,,,,,,,,,,
1610452800,0.96,1.055,976,1021,0.265,11.3,282.1,6.833,94.8,,123,7.519,5.503,,,,,,,,,,,,,
1610456400,1.174,1.278,976,1020,1.267,11.1,300.2,5.649,100.4,,59.6,7.537,5.506,,,,,,,,,1,,,,
1610460000,0.756,0.959,975,1019,2.836,9.6,303.3,5.265,114.8,,31.49,7.499,5.506,,,,,,,,,1,,,,
1610463600,0.703,0.998,975,1019,3.198,12.2,307.9,5.832,117.4,,8.03,7.481,5.494,,,,,,,,,1,,,,
1610467200,0.993,1.046,975,1019,3.325,10.9,289.3,4.566,118.1,,,7.465,5.485,,,,,,,,,1,,,,
